Player,Class,Season,Position,School,Games,FG,2P,3P,FT,TRB,AST,STL,BLK,PTS,Picked
Charles Jones\charles-jones-2,Total,5,,Total,21,43,49,35,64,102,100,45,6,485,0
Kevin Foster\kevin-foster-2,WCC,5,,Santa Clara,26,39,43,36,78,71,92,46,4,484,0
Kyle Singler\kyle-singler-1,ACC,4,,Duke,37,43,48,36,78,253,73,42,26,598,1
Ricky Minard\ricky-minard-1,OVC,4,,Morehead State,28,49,55,37,79,181,104,61,17,595,1
Chasson Randle\chasson-randle-1,Pac-12,4,,Stanford,36,43,46,39,80,117,88,41,2,593,0
C.J. McCollum\cj-mccollum-1,Patriot,4,,Lehigh,27,44,47,38,83,174,76,57,12,590,1
Nate Wolters\nate-wolters-1,Summit,4,,South Dakota State,31,45,49,34,81,150,167,48,5,588,1
Travis Bader\travis-bader-1,Total,4,,Oakland,34,41,41,41,88,94,42,26,3,587,0
Craig Smith\craig-smith-1,Total,4,,Boston College,32,56,57,25,64,278,61,41,25,587,1
Alec Peters\alec-peters-1,Horizon,4,,Valparaiso,33,49,54,42,84,249,51,25,9,587,1
Shawn Long\shawn-long-1,Sun Belt,4,,Louisiana-Lafayette,33,50,54,34,68,361,37,24,68,585,0
Randy Culpepper\randy-culpepper-1,CUSA,4,,Texas-El Paso,34,43,52,34,75,93,68,62,8,584,0
David Holston\david-holston-1,Total,4,,Chicago State,29,42,45,39,83,92,132,63,1,582,0
Rashad Phillips\rashad-phillips-1,MW Coll,4,,Detroit Mercy,32,43,46,40,88,84,137,47,2,579,0
Juan'ya Green\juanya-green-1,Total,5,,Total,26,40,43,34,81,106,154,46,10,463,0
Mike Helms\mike-helms-1,Mid-Cont,4,,Oakland,29,43,47,36,74,102,55,40,9,578,0
Jared Brownridge\jared-brownridge-1,WCC,4,,Santa Clara,32,42,45,40,84,91,80,28,4,578,0
Tunji Awojobi\tunji-awojobi-1,Total,4,,Boston University,28,53,55,19,70,309,44,42,74,577,0
Antoine Mason\antoine-mason-1,Total,5,,Total,24,42,47,31,73,92,38,28,3,461,0
Devan Downey\devan-downey-1,Total,5,,Total,25,42,45,33,78,77,113,68,3,460,0
Trey Freeman\trey-freeman-2,Total,5,,Total,27,44,45,36,82,101,108,32,2,460,0
Joseph Young\joseph-young-1,Total,4,,Total,33,45,50,39,89,119,87,32,2,576,1
Tim Smith\tim-smith-1,Total,4,,East Tennessee State,30,43,46,36,74,126,127,78,1,575,0
Chris McGuthrie\chris-mcguthrie-1,NEC,4,,Mount St. Mary's,28,40,45,34,80,76,106,50,4,574,0
Gary Neal\gary-neal-1,Total,5,,Total,21,43,49,36,83,82,54,25,2,459,0
Buddy Hield\buddy-hield-1,Big 12,4,,Oklahoma,33,45,51,39,84,165,63,42,9,572,1
J.J. Barea\jose-barea-1,Total,4,,Northeastern,28,40,46,32,76,109,180,44,0,572,0
Shea Seals\shea-seals-1,Total,4,,Tulsa,31,39,46,33,70,194,97,55,8,572,0
James Florence\james-florence-1,A-Sun,4,,Mercer,29,39,46,29,72,110,109,55,8,571,0
Alex Young\alex-young-1,Summit,4,,IUPUI,32,46,51,34,73,167,53,43,22,571,0
LaceDarius Dunn\lacedarius-dunn-1,Big 12,4,,Baylor,33,44,50,39,84,148,43,39,4,571,0
Colt Ryan\colt-ryan-1,MVC,4,,Evansville,32,42,43,40,86,122,101,45,5,569,0
Jermaine Hall\jermaine-hall-1,NEC,4,,Wagner,29,58,59,31,71,194,36,25,31,569,0
Antoine Agudio\antoine-agudio-1,CAA,4,,Hofstra,30,44,46,42,71,107,79,31,2,569,0
Juan Dixon\juan-dixon-1,ACC,4,,Maryland,35,47,51,39,85,149,92,83,6,567,1
Bubba Wells\bubba-wells-1,OVC,4,,Austin Peay,26,52,54,40,74,180,52,34,24,566,1
Andre Emmett\andre-emmett-1,Big 12,4,,Texas Tech,32,50,52,30,70,191,50,41,10,564,1
Malcolm Delaney\malcolm-delaney-1,ACC,4,,Virginia Tech,34,40,43,36,85,119,135,43,6,563,0
Chris Davis\chris-davis-2,Total,5,,North Texas,22,42,47,30,72,128,59,17,6,450,0
Chris Monroe\chris-monroe-1,A-10,4,,George Washington,29,43,48,34,75,178,63,29,9,562,0
Isaac Spencer\isaac-spencer-1,OVC,4,,Murray State,31,54,56,32,68,244,89,32,31,562,0
Kerry Kittles\kerry-kittles-1,Big East,4,,Villanova,30,48,53,39,71,178,102,69,12,560,1
Courtney Lee\courtney-lee-1,Sun Belt,4,,Western Kentucky,31,46,50,40,82,165,70,60,19,559,1
Marcus Brown\marcus-brown-1,OVC,4,,Murray State,29,49,54,37,85,120,73,58,8,557,1
John Brown\john-brown-3,Big South,4,,High Point,29,55,56,0,72,200,45,45,41,557,0
Georges Niang\georges-niang-1,Big 12,4,,Iowa State,34,50,55,38,76,178,105,23,16,557,1
Matt Harpring\matt-harpring-1,ACC,4,,Georgia Tech,31,46,52,36,76,249,72,44,7,556,1
Louis Bullock\louis-bullock-1,Big Ten,4,,Michigan,33,43,43,42,86,109,74,34,5,556,1
Scottie Reynolds\scottie-reynolds-1,Big East,4,,Villanova,34,41,46,37,81,99,120,51,3,555,0
Devon Saddler\devon-saddler-1,CAA,4,,Delaware,31,43,47,34,75,132,84,25,7,555,0
Jarrius Jackson\jarrius-jackson-1,Big 12,4,,Texas Tech,33,44,44,42,79,111,89,49,3,555,0
Alando Tucker\alando-tucker-1,Big Ten,5,,Wisconsin,26,48,52,31,64,153,42,20,5,443,1
Talor Battle\talor-battle-1,Big Ten,4,,Penn State,33,40,47,34,72,156,129,36,3,553,0
John Holland\john-holland-1,AEC,4,,Boston University,32,43,49,35,80,181,38,50,10,553,0
Larry Blair\larry-blair-1,Big South,4,,Liberty,30,42,46,33,79,124,78,55,11,552,0
Earl Boykins\earl-boykins-1,MAC,4,,Eastern Michigan,30,44,48,35,81,69,156,55,2,552,0
Juan Mendez\juan-mendez-1,MAAC,4,,Niagara,30,53,57,30,78,263,27,31,42,552,0
Jerald Honeycutt\jerald-honeycutt-1,Total,4,,Tulane,31,42,48,31,67,217,104,58,40,552,1
Orlando Johnson\orlando-johnson-1,Total,5,,Total,24,46,49,39,72,138,63,22,13,441,1
QJ Peterson\qj-peterson-1,Total,4,,Virginia Military Institute,28,40,46,33,79,167,75,44,8,550,0
Chris Thomas\chris-thomas-4,Big East,4,,Notre Dame,32,38,40,36,87,132,208,61,5,548,0
Brandon Heath\brandon-heath-1,MWC,4,,San Diego State,31,41,46,35,78,104,98,54,1,547,0
Kyle Hines\kyle-hines-1,Southern,4,,North Carolina-Greensboro,30,58,59,17,58,261,37,46,87,546,0
Reggie Hamilton\reggie-hamilton-1,Summit,5,,Total,24,44,49,39,83,75,109,37,3,437,0
Donald Sims\donald-sims-1,Southern,4,,Appalachian State,32,43,47,40,89,86,86,33,3,546,0
Monty Mack\monty-mack-1,A-10,4,,Massachusetts,30,40,44,36,79,104,66,38,4,545,0
DeJuan Wheat\dejuan-wheat-1,Total,4,,Louisville,34,45,54,37,76,88,124,51,6,545,1
Toney Douglas\toney-douglas-1,Total,5,,Total,26,44,48,38,80,98,68,46,7,436,1
D'Angelo Harrison\dangelo-harrison-1,Big East,4,,St. John's (NY),31,39,42,36,81,145,63,39,11,544,0
Marcus Thornton\marcus-thornton-3,CAA,4,,William & Mary,31,43,46,40,79,81,77,23,7,544,1
Anthony Ireland\anthony-ireland-1,WCC,4,,Loyola Marymount,33,42,45,35,80,129,139,50,2,543,0
Greivis Vasquez\greivis-vasquez-1,ACC,4,,Maryland,34,42,49,33,83,161,193,47,9,542,1
Brandon Ewing\brandon-ewing-1,MWC,4,,Wyoming,31,43,51,32,82,107,117,40,2,542,0
Kevin Anderson\kevin-anderson-1,A-10,4,,Richmond,34,44,48,34,78,101,102,54,6,541,0
Jamar Wilson\jamar-wilson-1,AEC,5,,Albany (NY),24,45,49,38,81,109,97,28,5,432,0
Luis Flores\luis-flores-1,Total,5,,Total,23,45,48,38,87,89,45,35,4,432,1
Tywain McKee\tywain-mckee-1,MEAC,4,,Coppin State,31,42,45,37,80,148,101,63,3,539,0
Damon Lynn\damon-lynn-1,Total,4,,NJIT,29,37,40,35,81,82,92,47,2,538,0
Jonathan Rodriguez\jonathan-rodriguez-1,A-Sun,4,,Campbell,30,48,51,31,76,266,71,43,18,538,0
Loren Stokes\loren-stokes-1,CAA,4,,Hofstra,31,48,50,33,62,164,94,45,10,537,0
Jeremy Hazell\jeremy-hazell-1,Big East,4,,Seton Hall,28,42,52,34,75,92,33,47,3,536,0
Stan Okoye\stan-okoye-1,Big South,4,,Virginia Military Institute,30,50,55,33,66,240,53,38,25,536,0
Sean Kilpatrick\sean-kilpatrick-1,Total,4,,Cincinnati,35,42,50,35,78,150,69,41,5,536,0
Brett Blizzard\brett-blizzard-1,CAA,4,,North Carolina-Wilmington,31,43,43,42,75,123,90,62,9,536,0
Bryce Drew\bryce-drew-1,Mid-Cont,4,,Valparaiso,30,45,47,44,83,95,156,46,2,535,1
Ryan Gomes\ryan-gomes-1,Big East,4,,Providence,29,52,55,35,79,257,67,45,12,534,1
E'Twaun Moore\etwaun-moore-1,Big Ten,4,,Purdue,35,44,47,38,73,152,100,41,14,534,1
Jacob Pullen\jacob-pullen-1,Big 12,4,,Kansas State,33,41,46,36,77,80,113,52,2,533,0
Jameel Warney\jameel-warney-1,AEC,4,,Stony Brook,33,60,60,NaN,59,318,55,26,68,533,0
David West\david-west-1,A-10,4,,Xavier,31,53,54,31,76,327,66,43,57,533,1
Chris Lofton\chris-lofton-1,SEC,4,,Tennessee,32,45,52,42,84,106,55,48,3,532,0
Torrey Craig\torrey-craig-1,A-Sun,4,,South Carolina Upstate,32,41,49,33,67,236,59,34,25,532,0
Rasual Butler\rasual-butler-1,A-10,4,,La Salle,27,41,44,36,82,162,44,27,30,531,1
David Kool\david-kool-1,MAC,4,,Western Michigan,31,42,48,35,89,112,68,40,0,530,0
Nick Barbour\nick-barbour-1,Big South,4,,High Point,29,42,43,40,78,85,34,32,8,530,0
Chavaughn Lewis\chavaughn-lewis-1,MAAC,4,,Marist,30,41,44,31,67,159,77,60,18,529,0
B.J. Mckie\bj-mckie-1,SEC,4,,South Carolina,30,44,48,38,77,107,95,41,2,529,0
John Wallace\john-wallace-1,Big East,4,,Syracuse,31,53,54,38,74,266,63,36,52,529,1
Tim Duncan\tim-duncan-1,ACC,4,,Wake Forest,32,58,59,31,69,392,72,17,120,529,1
Odell Hodge\odell-hodge-1,CAA,5,,Old Dominion,25,55,56,0,70,217,25,23,57,423,0
Rodney Buford\rodney-buford-1,MVC,4,,Creighton,29,45,48,38,76,179,53,48,14,529,1
Courtney Alexander\courtney-alexander-1,Total,5,,Total,22,46,49,36,77,88,49,25,4,422,1
DeAndre Kane\deandre-kane-1,Total,4,,Total,33,43,49,30,60,185,161,43,7,527,0
Jack McClinton\jack-mcclinton-1,Total,5,,Total,25,42,43,43,88,80,64,20,0,422,1
Gary Trent\gary-trent-1,MAC,3,,Ohio,31,57,59,22,69,350,62,20,35,702,1
D.J. Newbill\dj-newbill-1,Total,5,,Total,26,45,48,33,72,136,68,26,5,421,0
Andrew Nicholson\andrew-nicholson-1,A-10,4,,St. Bonaventure,30,58,59,37,72,221,21,15,61,525,1
Deonte Burton\deonte-burton-1,Total,4,,Nevada,32,44,50,34,75,93,128,42,13,525,0
Jason Sasser\jason-sasser-1,SWC,4,,Texas Tech,29,47,51,29,73,223,76,36,2,525,1
Seth Curry\seth-curry-1,Total,5,,Total,28,43,47,39,83,79,58,34,5,420,0
A.J. Guyton\aj-guyton-1,Big Ten,4,,Indiana,32,45,49,41,78,107,100,32,13,525,1
Lynn Greer\lynn-greer-1,A-10,5,,Temple,27,40,40,40,85,71,87,39,3,419,0
Gerry McNamara\gerry-mcnamara-1,Big East,4,,Syracuse,33,38,42,35,89,83,162,64,1,524,0
Tyrese Rice\tyrese-rice-1,ACC,4,,Boston College,33,43,51,35,83,96,148,40,7,524,0
Cedrick Banks\cedrick-banks-1,Horizon,4,,Illinois-Chicago,30,43,46,38,74,133,63,36,6,524,0
Nick Collison\nick-collison-1,Big 12,4,,Kansas,35,56,57,31,62,285,64,38,60,524,1
Keifer Sykes\keifer-sykes-1,Horizon,4,,Green Bay,31,45,49,33,78,116,130,38,2,524,0
Da'Sean Butler\dasean-butler-1,Big East,4,,West Virginia,36,45,50,35,73,200,70,38,8,523,1
Jason Kapono\jason-kapono-1,Pac-10,4,,UCLA,31,47,49,45,83,161,66,27,2,523,1
Jameer Nelson\jameer-nelson-1,A-10,4,,Saint Joseph's,31,45,51,36,78,145,178,62,2,523,1
Alex Francis\alex-francis-1,NEC,4,,Bryant,30,54,55,23,60,247,43,27,13,521,0
Pat Garrity\pat-garrity-1,Total,4,,Notre Dame,27,49,52,36,75,194,55,21,16,521,1
Dominique Morrison\dominique-morrison-1,Summit,4,,Oral Roberts,32,46,50,38,81,142,61,23,13,520,0
Clifford Reed\cj-reed-1,Total,5,,Total,26,37,40,31,78,94,110,35,1,416,0
Shane Gibson\shane-gibson-1,NEC,5,,Sacred Heart,24,46,51,41,85,91,40,31,10,415,0
Sean Singletary\sean-singletary-1,ACC,4,,Virginia,30,41,43,36,85,122,146,50,1,519,1
Jay Williams\jay-williams-1,ACC,3,,Duke,36,45,51,39,67,131,214,78,4,693,1
Jeremy Senglin\jeremy-senglin-1,Big Sky,4,,Weber State,31,46,52,42,73,99,86,27,2,519,0
David Hawkins\david-hawkins-2,A-10,4,,Temple,31,40,47,30,73,153,70,64,7,519,0
Jon Scheyer\jon-scheyer-1,ACC,4,,Duke,36,41,44,38,86,130,110,52,7,519,0
Keon Johnson\keon-johnson-1,Big South,4,,Winthrop,32,43,46,39,85,99,67,22,0,519,0
Bryant Reeves\bryant-reeves-1,Big 8,3,,Oklahoma State,33,59,60,0,65,323,39,19,56,692,1
D.J. Cooper\dj-cooper-1,MAC,4,,Ohio,35,38,43,32,74,155,233,81,7,518,0
Tucker Neale\tucker-neals-1,Patriot,3,,Colgate,29,46,51,39,80,157,73,46,5,691,0
Nick Stapleton\nick-stapleton-1,OVC,4,,Austin Peay,29,46,51,37,75,59,84,27,2,518,0
Hakim Warrick\hakim-warrick-1,Big East,4,,Syracuse,33,53,54,20,66,256,51,32,32,518,1
Jared Dudley\jared-dudley-1,Total,4,,Boston College,32,50,55,37,73,234,98,44,9,517,1
Arizona Reid\arizona-reid-1,Big South,4,,High Point,30,51,52,37,70,253,52,38,12,517,0
Donnie Carr\donnie-carr-1,A-10,4,,La Salle,26,37,39,34,77,95,101,28,3,516,0
Raef LaFrentz\raef-lafrentz-1,Total,4,,Kansas,32,56,56,38,71,296,21,24,34,516,1
Chavis Holmes\chavis-holmes-1,Big South,4,,Virginia Military Institute,29,44,50,38,76,109,78,76,14,516,0
LaDontae Henton\ladontae-henton-1,Big East,4,,Providence,33,44,49,33,76,263,39,39,22,514,0
Shawn Respert\shawn-respert-1,Big Ten,3,,Michigan State,29,48,49,45,85,116,79,35,3,685,1
Danya Abrams\danya-abrams-1,Big East,4,,Boston College,30,47,48,27,70,257,40,34,15,513,0
Marcus Wilson\marcus-wilson-1,MVC,4,,Evansville,29,47,50,42,88,91,62,27,3,513,0
Brion Rush\brion-rush-1,SWAC,4,,Grambling,26,41,44,37,79,135,74,45,3,513,0
Anatoly Bose\anatoly-bose-1,Southland,4,,Nicholls State,30,43,49,37,77,165,52,32,4,512,0
Isaiah Canaan\isaiah-canaan-1,OVC,4,,Murray State,33,45,48,42,80,91,96,39,2,512,1
Cameron Wells\cameron-wells-1,Southern,4,,Citadel,31,43,46,28,80,164,121,46,10,512,0
Markeith Cummings\markeith-cummings-1,A-Sun,4,,Kennesaw State,30,45,49,30,68,158,56,33,8,512,0
Reggie Holmes\reggie-holmes-1,MEAC,4,,Morgan State,33,38,41,36,78,131,19,42,6,512,0
Jerry Johnson\jerry-johnson-1,MAAC,4,,Rider,29,40,43,36,83,91,105,38,3,511,0
Johnny Dee\johnny-dee-2,WCC,4,,San Diego,32,43,47,40,91,91,39,30,0,511,0
Eddie House\eddie-house-1,Pac-10,4,,Arizona State,31,42,46,36,80,125,101,64,4,511,1
Dionte Christmas\dionte-christmas-1,A-10,4,,Temple,32,43,52,36,78,144,65,38,7,510,0
Tim Kempton\tim-kempton-2,Patriot,4,,Lehigh,30,53,54,39,73,273,32,21,19,510,0
Earl Hunt\earl-hunt-1,Ivy,4,,Brown,27,45,48,36,81,143,59,28,5,510,0
Courtney Pigram\courtney-pigram-1,A-Sun,4,,East Tennessee State,31,40,44,34,71,102,104,58,3,510,0
Julius Hodge\julius-hodge-1,ACC,4,,North Carolina State,32,47,52,33,76,193,113,40,20,510,1
Jason Thompson\jason-thompson-1,MAAC,4,,Rider,30,52,54,28,67,292,61,26,58,510,1
John Shurna\john-shurna-1,Big Ten,4,,Northwestern,32,47,52,40,75,161,73,29,33,509,0
Jack Gibbs\jack-gibbs-1,Total,4,,Davidson,29,43,49,37,82,101,116,40,0,509,0
Richard Hamilton\richard-hamilton-1,Big East,3,,Connecticut,34,43,46,38,83,154,88,44,9,678,1
Mike Muscala\mike-muscala-1,Patriot,4,,Bucknell,33,50,51,31,82,273,52,14,67,509,1
Steve Burtt\steve-burtt-2,MAAC,4,,Iona,30,44,47,39,83,94,65,26,1,508,0
Rashawn Thomas\rashawn-thomas-1,Southland,4,,Texas A&M-Corpus Christi,31,55,56,29,67,240,43,29,54,508,0
Kenny Boynton\kenny-boynton-1,SEC,4,,Florida,36,40,48,34,79,87,98,32,4,508,0
Zeek Woodley\zikiteran-woodley-1,Southland,4,,Northwestern State,26,55,60,41,84,124,27,20,16,508,0
Mark Lueking\mark-lueking-1,Patriot,4,,Army,26,39,40,38,83,66,61,19,0,508,0
Marvelle Harris\marvelle-harris-2,MWC,4,,Fresno State,34,42,46,33,75,151,99,51,11,507,0
Mike Pegues\mike-pegues-1,AEC,4,,Delaware,30,49,51,29,76,196,65,28,18,507,0
Ryan Wittman\ryan-wittman-1,Ivy,4,,Cornell,30,46,49,43,84,110,55,29,7,507,0
Allan Ray\allan-ray-1,Big East,4,,Villanova,32,41,45,37,82,104,63,34,4,506,0
Malik Rose\malik-rose-1,NAC,4,,Drexel,30,55,55,17,64,378,29,23,30,506,1
Chris Warren\chris-warren-2,SEC,4,,Mississippi,28,41,45,37,86,58,113,31,3,505,0
Kevin Murphy\kevin-murphy-1,OVC,4,,Tennessee Tech,32,44,47,37,74,133,62,25,6,504,1
Ken Tutt\ken-tutt-1,Mid-Cont,4,,Oral Roberts,29,42,43,41,81,67,68,28,2,504,0
Altron Jackson\altron-jackson-1,CUSA,4,,South Florida,30,47,51,34,67,144,57,45,11,504,0
Trey Johnson\trey-johnson-1,SWAC,4,,Total,24,43,45,38,75,96,60,19,1,504,0
Damion Lee\damion-lee-1,Total,5,,Total,25,43,50,36,84,119,48,28,5,403,0
Joe Zeglinski\joe-zeglinski-1,AEC,5,,Hartford,27,38,43,34,69,122,51,30,4,403,0
Speedy Claxton\speedy-claxton-1,AEC,4,,Hofstra,29,47,49,32,75,141,165,72,8,503,1
Mike Harris\mike-harris-1,WAC,4,,Rice,30,60,62,38,73,277,31,34,29,503,0
Karim Souchu\karim-souchu-1,Southern,4,,Furman,29,48,56,32,63,164,41,47,11,503,0
Noah Dahlman\noah-dahlman-1,Southern,4,,Wofford,32,60,60,0,70,196,24,22,10,503,0
T.J. Sorrentine\tj-sorrentine-1,AEC,5,,Vermont,24,38,40,36,81,71,109,33,1,402,0
Sherell Ford\sherell-ford-1,Total,3,,Illinois-Chicago,29,48,51,35,71,269,37,49,54,670,1
Brandon Hunter\brandon-hunter-1,MAC,4,,Ohio,29,51,52,32,61,275,63,23,21,503,1
Kent Williams\kent-williams-1,MVC,4,,Southern Illinois,32,43,46,39,76,76,88,26,5,503,0
Shan Foster\shan-foster-1,SEC,4,,Vanderbilt,33,47,55,42,79,129,55,27,8,502,1
Troy Murphy\troy-murphy-1,Big East,3,,Notre Dame,31,50,52,33,78,308,52,37,42,670,1
Robert Vaden\robert-vaden-1,Total,5,,Total,25,40,44,38,81,116,65,30,8,402,1
Kenneth Faried\kenneth-faried-1,OVC,4,,Morehead State,34,57,57,0,59,418,29,57,60,502,1
Mike Trimboli\mike-trimboli-1,AEC,4,,Vermont,31,42,47,35,83,107,156,53,4,502,0
Chris Bjorklund\chris-bjorklund-1,Big West,4,,Cal Poly,27,50,53,35,66,153,44,15,19,501,0
Troy Huff\troy-huff-1,Total,4,,North Dakota,31,43,49,29,68,187,43,57,10,501,0
DeMarco Johnson\demarco-johnson-1,Total,4,,Charlotte,29,49,51,29,75,231,35,32,15,501,1
Romain Sato\romain-sato-1,A-10,4,,Xavier,32,42,48,36,77,223,64,33,11,501,1
A.J. English\aj-english-1,MAAC,4,,Iona,28,42,49,37,79,121,127,35,13,501,0
Javon McCrea\javon-mccrea-1,MAC,4,,Buffalo,32,58,58,0,62,247,62,41,62,501,0
Isaac Fontaine\isaac-fontaine-1,Pac-10,4,,Washington State,30,49,50,46,77,122,67,40,12,500,0
Dior Lowhorn\dior-lowhorn-1,Total,5,,Total,24,49,51,32,70,150,14,11,17,400,0
Justin Robinson\justin-robinson-2,MAAC,4,,Monmouth,32,42,44,39,83,110,124,52,1,500,0
Adnan Hodzic\adnan-hodzic-1,A-Sun,4,,Lipscomb,30,59,59,0,69,210,20,9,8,500,0
Cory Higgins\cory-higgins-1,Big 12,4,,Colorado,33,47,51,34,83,136,80,48,11,500,0
Richard Roby\richard-roby-1,Big 12,4,,Colorado,29,43,48,34,74,164,64,44,23,500,0
Kyle Wilson\kyle-wilson-5,Patriot,4,,Army,31,41,45,36,79,77,52,16,3,500,0
Ruben Douglas\ruben-douglas-1,Total,5,,Total,22,41,42,40,81,107,37,21,5,399,0
Gregory Burks\gregory-burks-1,SWAC,5,,Prairie View,23,41,45,33,80,72,99,37,0,399,0
Kalin Lucas\kalin-lucas-1,Big Ten,4,,Michigan State,35,42,44,38,79,67,139,36,2,499,0
T.J. Lux\tj-lux-1,Total,5,,Northern Illinois,23,49,51,27,69,222,28,26,31,399,0
Trey Sumler\trey-sumler-1,Southern,4,,Western Carolina,33,43,46,38,82,143,124,45,1,499,0
Jerry Green\jerry-green-1,Big West,4,,UC-Irvine,29,47,50,37,81,117,103,40,5,498,0
Charles Smith\charles-smith-3,WAC,4,,New Mexico,31,45,51,34,74,143,89,44,23,498,1
Jeryl Sasser\jeryl-sasser-1,WAC,4,,Southern Methodist,29,39,44,28,71,244,92,49,16,498,1
Rob Feaster\rob-feaster-1,Patriot,3,,Holy Cross,28,47,51,36,74,179,56,48,23,663,0
Langston Galloway\langston-galloway-1,A-10,4,,Saint Joseph's,33,44,45,42,82,149,74,42,16,497,0
Kendrick Perry\kendrick-perry-1,Horizon,4,,Youngstown State,30,47,55,35,75,126,126,61,9,497,0
Drake Reed\drake-reed-1,OVC,4,,Austin Peay,32,52,54,30,69,198,58,26,15,497,0
William Buford\william-buford-1,Big Ten,4,,Ohio State,36,44,47,38,81,166,90,32,10,497,0
Bernard King\bernard-king-2,Big 12,4,,Texas A&M,28,40,46,33,72,124,137,38,9,497,0
Tasmin Mitchell\tasmin-mitchell-1,SEC,5,,Louisiana State,27,46,49,34,73,190,58,38,16,397,0
Joe Crispin\joe-crispin-1,Big Ten,4,,Penn State,31,38,42,35,89,92,121,32,3,496,0
Yogi Ferrell\kevin-ferrell-1,Big Ten,4,,Indiana,34,43,46,40,83,109,158,28,2,496,0
Alex Hamilton\alex-hamilton-1,Total,4,,Louisiana Tech,35,46,53,28,73,129,125,53,12,496,0
Steve Logan\steve-logan-1,CUSA,4,,Cincinnati,33,43,48,38,86,74,114,24,0,496,1
Jerel McNeal\jerel-mcneal-1,Big East,4,,Marquette,32,44,48,35,72,152,113,71,16,496,0
Shane Battier\shane-battier-1,ACC,4,,Duke,36,50,57,41,78,221,59,66,63,496,1
Jason Gardner\jason-gardner-1,Pac-10,4,,Arizona,34,40,45,36,78,115,155,56,1,496,0
Jeremy Veal\jeremy-veal-1,Pac-10,4,,Arizona State,30,44,47,40,79,95,103,39,3,496,0
Warren Niles\warren-niles-1,Total,4,,Oral Roberts,34,42,47,37,78,126,64,33,5,495,0
Jermaine Taylor\jermaine-taylor-1,CUSA,4,,Central Florida,30,46,53,37,77,117,43,28,12,494,1
Norris Cole\norris-cole-1,Horizon,4,,Cleveland State,35,44,48,31,83,110,113,51,2,494,1
Chaz Williams\chaz-williams-1,Total,5,,Total,27,41,42,38,77,106,168,50,4,395,0
Bryce Cotton\bryce-cotton-1,Big East,4,,Providence,32,42,48,36,83,92,96,29,2,493,0
Antawn Jamison\antawn-jamison-1,ACC,3,,North Carolina,34,58,58,22,62,342,31,31,28,658,1
